proname,args,lanname,prokind
get_roles_by_category,p_category text,sql,f
get_sa2_map_data,"",sql,f
get_sector_top_orgs,"",sql,f
get_stories_needing_analysis,"",plpgsql,f
get_storytellers_needing_analysis,"",plpgsql,f
get_sub_task_results,p_parent_id uuid,plpgsql,f
get_table_counts,"",sql,f
get_table_freshness,"",sql,f
get_timing_windows,"",sql,f
get_top_justice_funding,"",sql,f
get_transcript_analysis_for_story,p_story_id uuid,plpgsql,f
get_unified_services_stats,"",sql,f
get_user_by_email,email_input text,plpgsql,f
get_user_feedback_signals,"p_user_id uuid, p_project_profile_id uuid",plpgsql,f
get_week_start,p_date date,plpgsql,f
get_yj_orgs_for_browser,"",sql,f
get_yj_orgs_for_map,"",sql,f
get_yj_programs_for_browser,"",sql,f
goods_compute_warmth,"p_stage text, p_last_touch timestamp with time zone, p_total_received numeric, p_alignment numeric, p_has_prior boolean, p_advocacy numeric",plpgsql,f
goods_relationships_touch_updated_at,"",plpgsql,f
goods_update_timestamp,"",plpgsql,f
grant_award_themes,p_grant_id uuid,sql,f
grant_opportunities_apply_ghl_sync_status,"",plpgsql,f
gs_make_id,"p_abn text, p_acn text, p_icn text, p_asx_code text, p_buyer_id text, p_fallback_name text",plpgsql,f
gs_update_timestamp,"",plpgsql,f
handle_new_user,"",plpgsql,f
hybrid_memory_search,"query_embedding vector, p_project_code text, p_entity_id uuid, p_include_episodes boolean, p_freshness_weight double precision, p_graph_weight double precision, p_vector_weight double precision, match_threshold double precision, match_count integer",plpgsql,f
increment_clicks,portrait_uuid uuid,plpgsql,f
increment_communities_joined,p_user_id uuid,plpgsql,f
increment_stories_contributed,p_user_id uuid,plpgsql,f
increment_views,portrait_uuid uuid,plpgsql,f
insert_community_programs_profile,"",plpgsql,f
insert_receipt_emails,rows jsonb,plpgsql,f
is_admin,"",plpgsql,f
is_org_member,"org uuid, min_role text",sql,f
jm_rate_check,"p_key text, p_limit integer, p_window_seconds integer",plpgsql,f
jm_stage_discovery,"p_row jsonb, p_cap integer",plpgsql,f
jr_approve_outcome,"p_outcome_id uuid, p_actor_id uuid, p_note text",plpgsql,f
jr_keep_review_decisions_immutable,"",plpgsql,f
jr_money_by_measure,"",sql,f
jr_promote_evidence_draft,"p_draft_id uuid, p_actor_id uuid, p_note text",plpgsql,f
jr_protect_published_snapshot,"",plpgsql,f
jr_publish_approved_snapshot,"p_site_id uuid, p_actor_id uuid, p_note text",plpgsql,f
jr_revoke_authority_on_lead_org_change,"",plpgsql,f
jr_set_updated_at,"",plpgsql,f
jr_site_authority_is_verified,"p_site_id uuid, p_organization_id uuid",sql,f
jr_validate_evidence_draft_site,"",plpgsql,f
jr_validate_outcome_evidence_site,"",plpgsql,f
jr_validate_review_authority,"",plpgsql,f
jr_validate_site_authority,"",plpgsql,f
jr_validate_snapshot_authority,"",plpgsql,f
jr_withdraw_published_snapshot,"p_site_id uuid, p_actor_id uuid, p_note text",plpgsql,f
jsonb_object_keys_count,j jsonb,sql,f
justice_funding_by_sector,p_state text,sql,f
justice_funding_by_year,p_state text,sql,f
justice_funding_map_locations,"p_state text, p_q text, p_sector text, p_indigenous_only boolean, p_location text, p_funding_type text, p_source text, p_beneficiary text, p_purpose text, p_charity_size text, p_alma_only boolean",plpgsql,f
justice_funding_org_profile,p_org_id uuid,sql,f
justice_funding_organizations,"p_state text, p_q text, p_sector text, p_indigenous_only boolean, p_location text, p_limit integer, p_offset integer, p_funding_type text, p_source text, p_beneficiary text, p_purpose text, p_charity_size text, p_alma_only boolean, p_sort text",plpgsql,f
justice_funding_organizations,"p_state text, p_q text, p_sector text, p_indigenous_only boolean, p_location text, p_limit integer, p_offset integer",plpgsql,f
justice_funding_overview,p_state text,sql,f
justice_funding_power_concentration,p_state text,sql,f
justice_funding_top_recipients,"p_state text, p_sector text, p_year text, p_indigenous_only boolean, p_limit integer",sql,f
justice_matrix_hybrid_campaigns,"query_text text, query_embedding vector, match_limit integer, p_cats text[], p_region text, p_country text, p_scope text",plpgsql,f
justice_matrix_hybrid_cases,"query_text text, query_embedding vector, match_limit integer, p_cats text[], p_outcome text, p_strength text, p_region text, p_country text, p_scope text",plpgsql,f
justice_matrix_nearest_campaign,"query_embedding vector, max_distance double precision",sql,f
justice_matrix_nearest_case,"query_embedding vector, max_distance double precision",sql,f
justice_matrix_record_gap,"p_question text, p_normalized text, p_surface text, p_intent text, p_confidence text, p_citation_count integer, p_best_distance double precision, p_relaxed boolean, p_plan_source text, p_categories text[]",plpgsql,f
justice_matrix_related_campaigns,"campaign_id uuid, match_limit integer",sql,f
justice_matrix_related_campaigns_for_case,"case_id uuid, match_limit integer",sql,f
justice_matrix_related_campaigns_for_evidence,"evidence_id uuid, match_limit integer, max_distance double precision",sql,f
justice_matrix_related_cases,"case_id uuid, match_limit integer",sql,f
justice_matrix_related_cases_for_campaign,"campaign_id uuid, match_limit integer",sql,f
justice_matrix_related_cases_for_evidence,"evidence_id uuid, match_limit integer, max_distance double precision",sql,f
justice_matrix_related_evidence_for_case,"case_id uuid, match_limit integer, max_distance double precision",sql,f
justice_matrix_search_campaigns,"query_embedding vector, match_limit integer, max_distance double precision",sql,f
justice_matrix_search_cases,"query_embedding vector, match_limit integer, max_distance double precision",sql,f
justice_matrix_search_evidence,"query_embedding vector, match_limit integer, max_distance double precision",sql,f
log_agent_action,"p_agent_id text, p_action text, p_target_table text, p_target_id text, p_success boolean, p_duration_ms integer, p_error_message text, p_input_summary jsonb, p_output_summary jsonb, p_user_context text",plpgsql,f
log_alma_usage,"p_entity_type text, p_entity_id uuid, p_action text, p_query_text text",plpgsql,f
log_api_usage,"p_provider text, p_model text, p_endpoint text, p_input_tokens integer, p_output_tokens integer, p_script_name text, p_cache_hit boolean, p_latency_ms integer, p_agent_id text",plpgsql,f
log_decision_trace,"p_decision_type text, p_agent_id text, p_input_context jsonb, p_decision jsonb, p_reasoning text, p_confidence numeric, p_retrieved_context jsonb, p_alternatives jsonb",plpgsql,f
log_goal_update,"",plpgsql,f
log_research_tool,"p_session_id uuid, p_tool_name text, p_tool_input jsonb, p_tool_output jsonb, p_execution_time_ms integer, p_success boolean, p_error_message text",plpgsql,f
mark_service_verified,service_id_param uuid,plpgsql,f
mark_task_for_review,"p_task_id uuid, p_output jsonb, p_reasoning text, p_confidence numeric",plpgsql,f
match_answer_bank,"p_org_profile_id uuid, p_query_embedding vector, p_match_count integer, p_match_threshold double precision",plpgsql,f
match_civic_chunks,"query_embedding vector, match_count integer, filter_source text",plpgsql,f
match_grants_for_org,"org_embedding vector, threshold double precision, match_limit integer",sql,f
match_knowledge_chunks,"query_embedding vector, match_threshold double precision, match_count integer, filter_source_type text, filter_project_id text",plpgsql,f
merge_duplicate_organizations,"p_dry_run boolean, p_limit integer",plpgsql,f
merge_organization_pair,"p_winner uuid, p_loser uuid, p_basis text, p_dry_run boolean",plpgsql,f
name_similarity,"name1 text, name2 text",plpgsql,f
normalize_company_name,name text,plpgsql,f
normalize_email,email text,plpgsql,f
normalize_location_name,input_name text,plpgsql,f
normalize_phone,phone text,plpgsql,f
notify_event_reactor,"",plpgsql,f
notify_grant_stage_change,"",plpgsql,f
notify_webhook_sync_event,"",plpgsql,f
pgrst_watch,"",plpgsql,f
populate_media_quote_links,"",plpgsql,f
populate_storyteller_media_links,"",plpgsql,f
power_page_donations,"p_state text, p_limit integer",plpgsql,f
power_page_network,"p_state text, p_limit integer",plpgsql,f
power_page_sankey,p_state text,plpgsql,f
power_page_top_orgs,"p_state text, p_limit integer",plpgsql,f
prevent_cultural_sync,"",plpgsql,f
process_new_transcript,"p_story_id uuid, p_transcript_text text, p_source text",plpgsql,f
profiles_block_privilege_self_edit,"",plpgsql,f
queue_campaign_for_enrichment,"p_campaign_id uuid, p_campaign_type text, p_limit integer",plpgsql,f
queue_community_event_sync,"",plpgsql,f
queue_for_exa_enrichment,"p_person_id uuid, p_campaign_type text, p_priority integer, p_enrich_network boolean",plpgsql,f
queue_project_outcome_sync,"",plpgsql,f
queue_project_sync,"",plpgsql,f
queue_user_profile_sync,"",plpgsql,f
rebuild_funder_board_paths,"",plpgsql,f
rebuild_funder_intelligence,"",plpgsql,f
rebuild_place_funding_snapshot,"",plpgsql,f
record_alma_metric,"p_metric_type text, p_value integer, p_period_start date, p_period_end date, p_project_id uuid, p_breakdown jsonb",plpgsql,f
record_decision_feedback,"p_decision_id uuid, p_feedback text, p_feedback_by text, p_notes text",plpgsql,f
record_execution_review_feedback,"",plpgsql,f
record_memory_access,"p_table text, p_id uuid",plpgsql,f
record_opportunity_review,"p_user_id uuid, p_org_profile_id uuid, p_source_type text, p_source_ref text, p_project_code text, p_pathway text, p_reason text, p_notes text, p_evidence_gaps text[], p_outcome text, p_judgment jsonb, p_supersedes_id uuid",plpgsql,f
record_rejection_feedback,"",plpgsql,f
record_research_finding,"p_session_id uuid, p_finding_type text, p_content jsonb, p_entity_type text, p_entity_id uuid, p_confidence numeric, p_sources text[]",plpgsql,f
refresh_alma_dashboards,"",plpgsql,f
refresh_civicgraph_mvs,"",plpgsql,f
refresh_closing_the_gap_state_summary,"",plpgsql,f
refresh_funding_relevance_scores,"",plpgsql,f
refresh_goods_intelligence,"",plpgsql,f
refresh_mv_org_justice_signals,"",plpgsql,f
refresh_mv_project_quarter_position,"",plpgsql,f
refresh_portfolio_rankings,"",plpgsql,f
refresh_sentiment_analytics,"",plpgsql,f
refresh_trust_scores,"",plpgsql,f
reject_proposal,"proposal_id uuid, reviewer text, notes text",plpgsql,f
reset_failed_sync_events,"table_filter text, max_age_hours integer",plpgsql,f
resolve_entity,"p_source text, p_source_id text, p_name text, p_email text, p_phone text, p_company text, p_entity_type text",plpgsql,f
retry_missed_reactions,"",plpgsql,f
run_memory_decay,"",plpgsql,f
se_registry_stats,"",sql,f
search_all_entities,"search_term text, max_results integer",plpgsql,f
search_alma_interventions,"p_query text, p_geography text[], p_type text, p_evidence_level text, p_consent_level text, p_limit integer",plpgsql,f
search_alma_unified,"query_text text, entity_types text[], jurisdictions text[], limit_results integer",plpgsql,f
search_entities_fuzzy,"search_name text, min_similarity double precision, max_results integer",sql,f
search_entities_prefix_fast,"search_term text, max_results integer",plpgsql,f
search_entities_semantic,"query_embedding vector, match_threshold double precision, match_count integer",sql,f
search_episodes,"query_embedding vector, p_project_code text, p_episode_types text[], match_threshold double precision, match_count integer",plpgsql,f
search_foundations_semantic,"query_embedding vector, match_threshold double precision, match_count integer",sql,f
search_grants_semantic,"query_embedding vector, match_threshold double precision, match_count integer",sql,f
search_interventions_unified,"p_search_query text, p_geography text[], p_consent_level text, p_min_evidence_level text",plpgsql,f
search_knowledge,"query_embedding vector, match_threshold double precision, match_count integer, filter_source_type text, filter_project_id text",plpgsql,f
search_media,"p_search_query text, p_file_type text, p_project_slug text, p_tag text, p_limit integer, p_offset integer",plpgsql,f
search_org_knowledge,"query_embedding vector, p_org_profile_id uuid, match_threshold double precision, match_count integer",plpgsql,f
search_project_funding_hybrid,"p_org_project_id uuid, p_query_embedding vector, p_match_count integer",sql,f
search_project_knowledge,"query_embedding vector, p_project_code text, p_knowledge_types text[], match_threshold double precision, match_count integer",plpgsql,f
search_suppliers,"p_q text, p_state text, p_limit integer",sql,f
search_voice_notes,"query_embedding vector, match_threshold double precision, match_count integer, filter_visibility text, filter_user_id uuid",plpgsql,f
set_album_slug,"",plpgsql,f
set_alma_funding_search_text,"",plpgsql,f
set_crm_affiliation_updated_at,"",plpgsql,f
set_funding_os_updated_at,"",plpgsql,f
set_platform_organization_context,org_slug text,plpgsql,f
set_project_funding_profile_current,"",plpgsql,f
set_updated_at,"",plpgsql,f
should_promote_to_notion,person_uuid uuid,plpgsql,f
snapshot_alma_metrics,"",plpgsql,f
snapshot_data_catalog,"",plpgsql,f
spawn_sub_task,"p_parent_id uuid, p_parent_agent text, p_target_agent text, p_action_name text, p_params jsonb, p_context jsonb",plpgsql,f
start_ralph_task,p_task_id uuid,plpgsql,f
state_foundation_flows,state_code text,sql,f
sync_linkedin_contacts_from_imports,"",plpgsql,f
sync_program_intervention_links,"",plpgsql,f
touch_organization_funding_summaries,"",plpgsql,f
track_exa_api_usage,"p_requests_used integer, p_request_type text",plpgsql,f
trigger_calculate_temperature,"",plpgsql,f
trigger_set_updated_at_pfa,"",plpgsql,f
update_agent_memory_timestamp,"",plpgsql,f
update_agent_pattern_timestamp,"",plpgsql,f
update_album_timestamp,"",plpgsql,f
update_alma_contexts_search_vector,"",plpgsql,f
update_alma_evidence_search_vector,"",plpgsql,f
update_alma_ingestion_jobs_updated_at,"",plpgsql,f
update_alma_interventions_search_vector,"",plpgsql,f
update_alma_outcomes_search_vector,"",plpgsql,f
update_alma_updated_at,"",plpgsql,f
update_api_key_counters,"",plpgsql,f
update_article_reading_time,"",plpgsql,f
update_calendar_events_updated_at,"",plpgsql,f
update_cel_timestamp,"",plpgsql,f
update_citation_count,"",plpgsql,f
update_community_programs_search_vector,"",plpgsql,f
update_contact_review_timestamp,"",plpgsql,f
update_content_placements_updated_at,"",plpgsql,f
update_dream_journal_updated_at,"",plpgsql,f
update_email_financial_documents_updated_at,"",plpgsql,f
update_funding_opportunities_timestamp,"",plpgsql,f
update_funding_opportunity_status,"",plpgsql,f
update_funding_system0_filter_presets_updated_at,"",plpgsql,f
update_gmail_sync_state,"p_account_id uuid, p_history_id text, p_items_found integer, p_items_extracted integer, p_status text, p_error_message text",plpgsql,f
update_goals_2026_updated_at,"",plpgsql,f
update_knowledge_version_timestamp,"",plpgsql,f
update_learned_thresholds_updated_at,"",plpgsql,f
update_media_library_updated_at,"",plpgsql,f
update_migration_priority,"",plpgsql,f
update_pel_timestamp,"",plpgsql,f
update_pk_timestamp,"",plpgsql,f
update_platform_organization_activity,"",plpgsql,f
update_platform_updated_at,"",plpgsql,f
update_profile_appearances_updated_at,"",plpgsql,f
update_profiles_updated_at,"",plpgsql,f
update_project_stats,"",plpgsql,f
update_projects_updated_at,"",plpgsql,f
update_public_profiles_updated_at,"",plpgsql,f
update_raw_content_stats,"",plpgsql,f
update_receipt_attachment,"receipt_id uuid, new_attachment_url text, new_filename text, new_content_type text, new_size_bytes integer",plpgsql,f
update_receipt_emails_updated_at,"",plpgsql,f
update_receipt_match,"receipt_id uuid, new_status text, new_xero_transaction_id text, new_xero_bank_transaction_id text, new_match_confidence numeric, new_match_method text, new_project_code text, new_error_message text, new_retry_count integer",plpgsql,f
update_relationship_health,"",plpgsql,f
update_relationship_pipeline_updated_at,"",plpgsql,f
update_research_session,"p_session_id uuid, p_status text, p_plan jsonb, p_scratchpad jsonb, p_results jsonb, p_error_message text",plpgsql,f
update_site_health_from_check,"",plpgsql,f
update_source_after_scrape,"p_source_url text, p_success boolean, p_entities_found integer",plpgsql,f
update_source_document_search_vector,"",plpgsql,f
update_story_analysis_updated_at,"",plpgsql,f
update_storyteller_ai_intelligence_updated_at,"",plpgsql,f
update_storyteller_videos_updated_at,"",plpgsql,f
update_strategic_updated_at,"",plpgsql,f
update_subscriptions_timestamp,"",plpgsql,f
update_sync_event_status,"event_id uuid, new_status text, error_msg text",plpgsql,f
update_tag_usage_count,"",plpgsql,f
update_task_timestamp,"",plpgsql,f
update_transcript_search_vector,"",plpgsql,f
update_transcripts_updated_at,"",plpgsql,f
update_updated_at,"",plpgsql,f
update_updated_at_column,"",plpgsql,f
update_user_last_active,"",plpgsql,f
update_xero_invoice_timestamp,"",plpgsql,f
user_can_access_org,p_org_profile_id uuid,sql,f
user_can_perform_alma_action,"p_entity_type text, p_entity_id uuid, p_action text",plpgsql,f
wiki_hybrid_search,"query_text text, query_embedding vector, match_count integer, rrf_k integer",sql,f
wiki_page_create_version,"",plpgsql,f
wiki_pages_review_due_trigger,"",plpgsql,f
wiki_pages_search_trigger,"",plpgsql,f
wiki_search_index_fts_trigger,"",plpgsql,f
