view_name,owner,def_len
v_ndis_registered_provider_graph_match,postgres,990
v_ndis_registered_provider_state_supply,postgres,589
v_ndis_registered_provider_status_summary,postgres,417
v_ndis_support_class_supply,postgres,244
v_ndis_youth_justice_overlay,postgres,1663
v_need_to_respond,postgres,1299
v_newsletter_audience,postgres,1272
v_newsletter_reprompt_candidates,postgres,928
v_nt_community_buyer_crosswalk,postgres,1186
v_nt_community_entity_matches,postgres,2795
v_nt_community_procurement_summary,postgres,3019
v_org_funding_profile,postgres,2034
v_org_grant_health,postgres,1089
v_org_upcoming_deadlines,postgres,858
v_outstanding_invoices,postgres,928
v_pending_receipts,postgres,812
v_pending_subscriptions_review,postgres,692
v_person_360,postgres,601
v_pipeline_value,postgres,400
v_prf_portfolio_outcomes,postgres,1847
v_program_deliverers,postgres,2302
v_program_detail_deliverers,postgres,1229
v_program_spine,postgres,1710
v_project_actions,postgres,235
v_project_activity_stream,postgres,1722
v_project_alignment,postgres,3867
v_project_decisions,postgres,258
v_project_financials,postgres,2296
v_project_funding_position,postgres,1121
v_project_health_summary,postgres,222
v_project_lifetime_position,postgres,458
v_project_money_state,postgres,6373
v_project_pipeline_totals,postgres,469
v_project_questions,postgres,265
v_project_relationships,postgres,725
v_project_strategic_summary,postgres,2660
v_project_summary,postgres,5592
v_projects_needing_attention,postgres,344
v_qld_watchhouse_latest,postgres,3285
v_qld_yj_bills_active,postgres,2409
v_rd_expenses,postgres,552
v_receipt_pipeline_funnel,postgres,640
v_recent_agent_errors,postgres,247
v_recent_communications,postgres,870
v_recent_project_knowledge,postgres,811
v_relationship_health,postgres,1101
v_state_ecosystem_summary,postgres,649
v_subscription_alerts,postgres,1456
v_team_capacity,postgres,797
v_team_voice_notes,postgres,1091
v_top_untagged,postgres,244
v_unified_contacts,postgres,804
v_unmapped_transactions,postgres,497
v_voice_notes_cultural_review,postgres,1069
v_voice_notes_with_actions,postgres,270
v_youth_justice_cost_comparison,postgres,316
v_youth_justice_entities,postgres,2091
v_youth_justice_recipient_stats,postgres,743
v_youth_justice_recipients,postgres,3474
v_youth_justice_state_dashboard,postgres,7808
vw_alma_intervention_matches,postgres,678
vw_auto_mapped_contacts,postgres,522
vw_engagement_tier_stats,postgres,445
vw_exa_queue_summary,postgres,261
vw_exa_usage_summary,postgres,440
vw_goods_enrichment_candidates,postgres,1228
vw_high_value_project_matches,postgres,856
vw_justice_enrichment_candidates,postgres,1408
vw_newsletter_segments,postgres,617
wiki_hierarchy,postgres,920
xero_financial_health,postgres,2422
xero_overdue_receivables,postgres,1044
xero_upcoming_payables,postgres,747
