code,name,file,table,jev,confidence,xero,ghl,calendar,email,notes,xero_last_year,ghl_open,calendar_upcoming,emails_last_year,ask_ben,ben_answer
"ACT-PC","PICC Centre","not in the file","active","dormant","0.76","never","never","never","never","never","0","0","0","0",yes,
"ACT-PI","PICC","active","active","active","0.96","within the last 3 months","between 3 and 12 months ago","between 3 and 12 months ago","between 3 and 12 months ago","between 3 and 12 months ago","81","0","0","10",,
"ACT-PK","PICC Photo Kiosk","active","not in the projects table","dormant","0.85","never","never","never","never","never","0","0","0","0",yes,
"ACT-PS","PICC On Country Photo Studio","active","active","active","0.41","within the last 3 months","never","never","never","never","4","0","0","0",yes,
"ACT-QD","Quandamooka Justice and Healing Strategy","not in the file","active","dormant","0.89","never","never","never","never","never","0","0","0","0",yes,
"ACT-QF","QFCC Empathy Ledger","archived","archived","ended","0.82","never","never","one to two years ago","never","never","0","0","0","0",,
"ACT-RA","Regional Arts Fellowship","active","active","active","0.59","within the last 3 months","never","between 3 and 12 months ago","never","never","2","0","0","0",yes,
"ACT-RP","RPPP Stream Two","archived","archived","ended","0.89","never","never","never","never","between 3 and 12 months ago","0","0","0","0",,
"ACT-RS","ReSOLEution","not in the file","active","dormant","0.92","never","never","never","never","never","0","0","0","0",yes,
"ACT-RT","Redtape","active","active","dormant","0.95","never","never","never","never","never","0","0","0","0",yes,
"ACT-SE","SEFA Partnership","archived","archived","ended","0.69","never","within the last 3 months","within the last 3 months","never","between 3 and 12 months ago","0","1","0","0",yes,
"ACT-SF","SAF Foundation","archived","archived","ended","0.84","never","never","never","never","between 3 and 12 months ago","0","0","0","0",,
"ACT-SH","The Shed","archived","archived","ended","0.61","never","within the last 3 months","within the last 3 months","never","between 3 and 12 months ago","0","1","0","0",yes,
"ACT-SM","SMART","active","active","active","0.96","within the last 3 months","within the last 3 months","between 3 and 12 months ago","never","between 3 and 12 months ago","15","1","0","0",,
"ACT-SS","Storm Stories","archived","archived","ended","0.80","never","never","one to two years ago","never","never","0","0","0","0",,
"ACT-SX","SXSW 2025","archived","archived","ended","0.98","never","never","never","never","between 3 and 12 months ago","0","0","0","0",,
"ACT-TN","TOMNET","archived","archived","ended","0.92","never","never","one to two years ago","never","between 3 and 12 months ago","0","0","0","0",,
"ACT-TR","Treacher","ideation","ideation","dormant","0.88","never","never","never","never","between 3 and 12 months ago","0","0","0","0",,
"ACT-TV","The Vagina","ideation","not in the projects table","dormant","0.81","never","never","never","never","never","0","0","0","0",,
"ACT-TW","Travelling Women's Car","archived","archived","ended","0.91","never","never","never","never","never","0","0","0","0",,
"ACT-UA","Uncle Allan Palm Island Art","active","active","active","0.73","between 3 and 12 months ago","never","never","never","between 3 and 12 months ago","5","0","0","0",yes,
"ACT-WE","Westpac Summit 2025","archived","archived","ended","0.90","one to two years ago","within the last 3 months","within the last 3 months","never","between 3 and 12 months ago","0","1","0","0",,
"ACT-WJ","Wilya Janta","archived","archived","ended","0.82","one to two years ago","never","never","never","between 3 and 12 months ago","0","0","0","0",,
"ACT-YC","YAC Story and Action","archived","archived","ended","0.82","never","never","one to two years ago","never","between 3 and 12 months ago","0","0","0","0",,
